2.427000000000000000e+03,1.537500000000000000e+03,2.541500000000000000e+03,1.459500000000000000e+03,2.698500000000000000e+03,1.329500000000000000e+03,2.674500000000000000e+03,1.266500000000000000e+03,2.696500000000000000e+03,1.248000000000000000e+03,2.719000000000000000e+03,1.225500000000000000e+03,2.741000000000000000e+03,1.212000000000000000e+03,2.759000000000000000e+03,1.197500000000000000e+03,2.854000000000000000e+03,1.208000000000000000e+03
2.426500000000000000e+03,1.538500000000000000e+03,2.541500000000000000e+03,1.460500000000000000e+03,2.700500000000000000e+03,1.332500000000000000e+03,2.674500000000000000e+03,1.267500000000000000e+03,2.696500000000000000e+03,1.249000000000000000e+03,2.719000000000000000e+03,1.225500000000000000e+03,2.740000000000000000e+03,1.212000000000000000e+03,2.758000000000000000e+03,1.197000000000000000e+03,2.854000000000000000e+03,1.207000000000000000e+03
2.427000000000000000e+03,1.538000000000000000e+03,2.541500000000000000e+03,1.461500000000000000e+03,2.701000000000000000e+03,1.333500000000000000e+03,2.674500000000000000e+03,1.269500000000000000e+03,2.696500000000000000e+03,1.250000000000000000e+03,2.719000000000000000e+03,1.226500000000000000e+03,2.739000000000000000e+03,1.212000000000000000e+03,2.758000000000000000e+03,1.196000000000000000e+03,2.852500000000000000e+03,1.205500000000000000e+03
2.425000000000000000e+03,1.539000000000000000e+03,2.540500000000000000e+03,1.461500000000000000e+03,2.702000000000000000e+03,1.334500000000000000e+03,2.675000000000000000e+03,1.269500000000000000e+03,2.697500000000000000e+03,1.250000000000000000e+03,2.719000000000000000e+03,1.226500000000000000e+03,2.738500000000000000e+03,1.211500000000000000e+03,2.757500000000000000e+03,1.195500000000000000e+03,2.852000000000000000e+03,1.202000000000000000e+03
2.424500000000000000e+03,1.539500000000000000e+03,2.540500000000000000e+03,1.463500000000000000e+03,2.701000000000000000e+03,1.336500000000000000e+03,2.675000000000000000e+03,1.272500000000000000e+03,2.697500000000000000e+03,1.251000000000000000e+03,2.718000000000000000e+03,1.227500000000000000e+03,2.737000000000000000e+03,1.213000000000000000e+03,2.755000000000000000e+03,1.194500000000000000e+03,2.849000000000000000e+03,1.198000000000000000e+03
2.423500000000000000e+03,1.538500000000000000e+03,2.540500000000000000e+03,1.463500000000000000e+03,2.701500000000000000e+03,1.337500000000000000e+03,2.676000000000000000e+03,1.273500000000000000e+03,2.696500000000000000e+03,1.254000000000000000e+03,2.717500000000000000e+03,1.227000000000000000e+03,2.739000000000000000e+03,1.211000000000000000e+03,2.753500000000000000e+03,1.194500000000000000e+03,2.847500000000000000e+03,1.196500000000000000e+03
2.422500000000000000e+03,1.539500000000000000e+03,2.539500000000000000e+03,1.464500000000000000e+03,2.703000000000000000e+03,1.339500000000000000e+03,2.675500000000000000e+03,1.275500000000000000e+03,2.697500000000000000e+03,1.254000000000000000e+03,2.717000000000000000e+03,1.228500000000000000e+03,2.737000000000000000e+03,1.211000000000000000e+03,2.753500000000000000e+03,1.195500000000000000e+03,2.844500000000000000e+03,1.192500000000000000e+03
2.422000000000000000e+03,1.539000000000000000e+03,2.540500000000000000e+03,1.464500000000000000e+03,2.702000000000000000e+03,1.342000000000000000e+03,2.675500000000000000e+03,1.275500000000000000e+03,2.696500000000000000e+03,1.256000000000000000e+03,2.716000000000000000e+03,1.230500000000000000e+03,2.736500000000000000e+03,1.213000000000000000e+03,2.752000000000000000e+03,1.195000000000000000e+03,2.844000000000000000e+03,1.192000000000000000e+03
2.420500000000000000e+03,1.539500000000000000e+03,2.538500000000000000e+03,1.465500000000000000e+03,2.701000000000000000e+03,1.343500000000000000e+03,2.676000000000000000e+03,1.277500000000000000e+03,2.695500000000000000e+03,1.258000000000000000e+03,2.716000000000000000e+03,1.230500000000000000e+03,2.733500000000000000e+03,1.213000000000000000e+03,2.751000000000000000e+03,1.193500000000000000e+03,2.842500000000000000e+03,1.189500000000000000e+03
2.418500000000000000e+03,1.538500000000000000e+03,2.538500000000000000e+03,1.466500000000000000e+03,2.700000000000000000e+03,1.344500000000000000e+03,2.676000000000000000e+03,1.279500000000000000e+03,2.695500000000000000e+03,1.260000000000000000e+03,2.715000000000000000e+03,1.232500000000000000e+03,2.733500000000000000e+03,1.214000000000000000e+03,2.749000000000000000e+03,1.194000000000000000e+03,2.842500000000000000e+03,1.188500000000000000e+03
2.416500000000000000e+03,1.538500000000000000e+03,2.537500000000000000e+03,1.466500000000000000e+03,2.700000000000000000e+03,1.346500000000000000e+03,2.676500000000000000e+03,1.282500000000000000e+03,2.696000000000000000e+03,1.261500000000000000e+03,2.715000000000000000e+03,1.233500000000000000e+03,2.735000000000000000e+03,1.213500000000000000e+03,2.749000000000000000e+03,1.193000000000000000e+03,2.838500000000000000e+03,1.185500000000000000e+03
2.416000000000000000e+03,1.538000000000000000e+03,2.537500000000000000e+03,1.467500000000000000e+03,2.701000000000000000e+03,1.348500000000000000e+03,2.676500000000000000e+03,1.283500000000000000e+03,2.697000000000000000e+03,1.261500000000000000e+03,2.715000000000000000e+03,1.235500000000000000e+03,2.734000000000000000e+03,1.212500000000000000e+03,2.748000000000000000e+03,1.194500000000000000e+03,2.838000000000000000e+03,1.184000000000000000e+03
2.414500000000000000e+03,1.537500000000000000e+03,2.536500000000000000e+03,1.468500000000000000e+03,2.700000000000000000e+03,1.349500000000000000e+03,2.676500000000000000e+03,1.284500000000000000e+03,2.697000000000000000e+03,1.263500000000000000e+03,2.715000000000000000e+03,1.235500000000000000e+03,2.731500000000000000e+03,1.215000000000000000e+03,2.748000000000000000e+03,1.195500000000000000e+03,2.834500000000000000e+03,1.183500000000000000e+03
2.412500000000000000e+03,1.536500000000000000e+03,2.535500000000000000e+03,1.468500000000000000e+03,2.700500000000000000e+03,1.351500000000000000e+03,2.676500000000000000e+03,1.287500000000000000e+03,2.696500000000000000e+03,1.266000000000000000e+03,2.715500000000000000e+03,1.238000000000000000e+03,2.729500000000000000e+03,1.217000000000000000e+03,2.746000000000000000e+03,1.196500000000000000e+03,2.832500000000000000e+03,1.181500000000000000e+03
2.410500000000000000e+03,1.535500000000000000e+03,2.533500000000000000e+03,1.468500000000000000e+03,2.699500000000000000e+03,1.352500000000000000e+03,2.678000000000000000e+03,1.287500000000000000e+03,2.697500000000000000e+03,1.268000000000000000e+03,2.713000000000000000e+03,1.238500000000000000e+03,2.730500000000000000e+03,1.217000000000000000e+03,2.745000000000000000e+03,1.195500000000000000e+03,2.832000000000000000e+03,1.182000000000000000e+03
2.408500000000000000e+03,1.534500000000000000e+03,2.532500000000000000e+03,1.469500000000000000e+03,2.699500000000000000e+03,1.353500000000000000e+03,2.679000000000000000e+03,1.290500000000000000e+03,2.696500000000000000e+03,1.270000000000000000e+03,2.714000000000000000e+03,1.238500000000000000e+03,2.729000000000000000e+03,1.217500000000000000e+03,2.744000000000000000e+03,1.197000000000000000e+03,2.829500000000000000e+03,1.180500000000000000e+03
