0.000000000000000000e+00,0.000000000000000000e+00
1.451110648965459049e-01,8.636301348873167111e-19
3.380576500480402258e-01,-7.038882017589305332e-05
3.403678472230451391e-01,-1.886420380715041548e-02
3.691604843580884587e-01,-2.307309428536249984e-02
3.985992547655157758e-01,-3.095122762043828191e-02
4.308120666244922292e-01,-3.634228930929757351e-02
4.515695492102207442e-01,-4.275128162839379048e-02
5.423891756526059149e-01,-4.695836726506302794e-02
-5.414794025600342276e-06,1.144326470617757201e-03
1.450984305567558641e-01,1.144326470617762839e-03
3.377965104560027854e-01,3.429369549170402116e-03
3.397151524721968019e-01,-1.510005560440162709e-02
3.685705898314560747e-01,-1.885431279507276264e-02
3.992688620905594510e-01,-2.511742455066354879e-02
4.311006312322305800e-01,-2.908646857099359342e-02
4.526442917263895360e-01,-3.539289867878441659e-02
5.430569124932641545e-01,-3.725378289204504811e-02
-9.197986766040530497e-04,1.832377708994367390e-03
1.437248675804765063e-01,1.832377708994373678e-03
3.366598668046514864e-01,1.298232668676142310e-03
3.389177612632179870e-01,-1.815913208814404906e-02
3.686651133560710503e-01,-2.163922282540519867e-02
3.979507468547506810e-01,-2.763613256620061492e-02
4.302167286122916545e-01,-3.043360404854660722e-02
4.510338998954819822e-01,-3.664598246662296305e-02
5.430390250944683306e-01,-3.656269205355638235e-02
-1.041819895856149281e-03,2.632294590756246305e-03
1.438380410958378097e-01,2.632294590756240234e-03
3.358452085452448554e-01,4.910024016790756965e-03
3.397065022389035849e-01,-1.611016468632736620e-02
3.681130420807335879e-01,-1.881632417106832156e-02
3.974632126847780222e-01,-2.448895507495414681e-02
4.308916035944842515e-01,-2.577424525107373243e-02
4.519985629424037032e-01,-3.106725458395378017e-02
5.449082308634103367e-01,-2.949995981223014693e-02
-1.059838752700146582e-03,3.776492000362550484e-03
1.442892699809724955e-01,3.776492000362550918e-03
3.367685006763132538e-01,5.205387348107361201e-03
3.391451878940623943e-01,-1.490005311864163809e-02
3.680402267294081708e-01,-1.833624911882895600e-02
3.969532844215983292e-01,-2.291664252862234824e-02
4.306071033494950906e-01,-2.330224606508822863e-02
4.526549765840480188e-01,-2.799075261594680120e-02
5.441186939251655419e-01,-2.197245442998659037e-02
-1.531932802017982580e-03,4.684642385309834532e-03
1.438171759316546616e-01,4.684642385309835400e-03
3.358603502913660166e-01,4.733293298789527370e-03
3.387091315584329632e-01,-1.628029755290675423e-02
3.666599822951430721e-01,-1.790019278319950405e-02
